Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
1	102  Ward 2	5121627		2	26	Leon Lott				Sheriff
2	102  Ward 2	5121627 N	3	7	Mitt Romney		 President of Vice President
2	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
2	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
2	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
2	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
2	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
2	102  Ward 2	5121627		3	55	No						Local Question 1
3	102  Ward 2	5121627 N	4	9	Barack Obama		 President of Vice President
3	102  Ward 2	5121627		4	17	Darrell Jackson				SEND021 State Senate
3	102  Ward 2	5121627		4	29	Gary Watts				Coroner
3	102  Ward 2	5121627		4	35	John V Green		 Soil and Water District Commission
3	102  Ward 2	5121627		4	45	Beatrice King				SCHO013 School Board District 1 Seat 3
3	102  Ward 2	5121627		4	54	Yes						Local Question 1
4	102  Ward 2	5121627 N	3	3	Democratic 
4	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
4	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
4	102  Ward 2	5121627		3	29	Gary Watts				Coroner
4	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
4	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
4	102  Ward 2	5121627		3	57	Yes						Local Question 2
4	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
4	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
4	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
4	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
4	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
4	102  Ward 2	5121627		3	58	No						Local Question 2
4	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
4	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
4	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
4	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
4	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
4	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
4	102  Ward 2	5121627		3	57	Yes						Local Question 2
4	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
4	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
4	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
4	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
4	102  Ward 2	5121627		3	39	Moryah Jackson				SCH1ALG School Board District 1 At Large
4	102  Ward 2	5121627		3	54	Yes						Local Question 1
5	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
5	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
5	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
5	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
5	102  Ward 2	5121627		3	39	Moryah Jackson				SCH1ALG School Board District 1 At Large
5	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
5	102  Ward 2	5121627		3	54	Yes						Local Question 1
6	102  Ward 2	5121627 N	3	3	Democratic 
6	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
6	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
6	102  Ward 2	5121627		3	29	Gary Watts				Coroner
6	102  Ward 2	5121627		3	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
6	102  Ward 2	5121627		3	54	Yes						Local Question 1
7	102  Ward 2	5121627 N	3	3	Democratic 
